question,option1,option2,option3,option4,answer
What is the only team to play in every soccer World Cup tournament?,Brazil,Germany,Italy,Argentina,Brazil
Which NBA player scored 100 points in a single game?,Kobe Bryant,Michael Jordan,Wilt Chamberlain,LeBron James,Wilt Chamberlain
In what year were the first modern Olympic Games held?,1886,1896,1906,1916,1896
Who is the only athlete to win the BBC Sports Personality of the Year award three times?,Usain Bolt,Mo Farah,Chris Hoy,Andy Murray,Andy Murray
Which country has won the most Rugby World Cups?,Australia,New Zealand,South Africa,England,New Zealand
In golf, what is a "birdie"?,1 under par,2 under par,1 over par,2 over par,1 under par
Who is the all-time leading scorer in the NHL?,Wayne Gretzky,Mario Lemieux,Gordie Howe,Bobby Orr,Wayne Gretzky
Which horse is the only three-time winner of the Grand National?,Red Rum,Seabiscuit,Secretariat,Man o' War,Red Rum
What is the name of the stadium where the New York Yankees play baseball?,Wrigley Field,Comerica Park,Dodger Stadium,Yankee Stadium,Yankee Stadium
Which country hosted the 2016 Summer Olympics?,Brazil,China,Russia,Japan,Brazil
